변수,변수이름,종류,설명,사용 여부,완료 여부,+
length,url 길이,"Nomial(명목), factor","url 길이 (54자를 기준으로 길면 피싱 (1),  짧으면 정상 (0))",사용O,완료,
special_chars,특수문자 개수,"Ratio(비율), int",특수문자 개수,사용O,완료,
at_chars,‘@’ 개수,"Ratio(비율), int",‘@’ 개수,사용O,완료,
double_slash_chars,'//’ 개수,"Ratio(비율), int",‘//’ 개수,사용O,완료,
dash_chars,'-’ 개수,"Ratio(비율), int",‘-’ 개수,사용O,완료,
numbers,숫자 개수,"Ratio(비율), int",숫자 개수,사용O,완료,
protocol,https 사용 여부,"Nomial(명목), factor",https 사용 여부,사용O,완료,
축약형URL,단축서비스여부,"Nomial(명목), factor",url 축약형인지 여부,사용O,완료,→ 단축어 서비스 전부를 반영하지 못한 부분을 감안해야 한다
sample 피싱 url과의 편집 거리,편집거리,int,정상도메인 2000개를 추출하여 정상도메인과 피싱도메인의 최소 편집거리 비교,사용O,완료,
도메인 수명,,"Nomial(명목), factor","whois에 도메인 수명(1년 이상 남았으면 1,등록 안되어있거나 1년 이하 -1,에러0)",보류,진행 중,코드 실행 시간 초과로 인해 잘 작동안함
코잇 사이트 등록 여부,,Nomial(명목),,보류,진행 중,
subdomain,서브도메인,"Nomial(명목), factor","서브 도메인 개수 -

2개 이상 피싱 (1), 2개 의심 (0), 그 외 정상 (-1)",사용O,완료,
전체 길이 중 숫자 비율,숫자비율,int,전체 url 길이 대비 숫자의 비율,사용O,완료,
전체 길이 중 특수문자 비율,특수문자비율,int,전체 url 길이 대비 특수문자의 비율,사용O,완료,"→ 정상 데이터가 평균적으로 더 작으나, 이상치가 많아 추가 처리 필요할듯"
path 깊이,path깊이,int,웹 서버의 리소스에 대한 경로 (path 개수만큼 라벨링),사용O,완료,→ 피싱 사이트보다 정상 사이트 path 길이가 더 긺
대문자 비율,대문자비율,int,url에서 대문자의 비율,보류,완료,
http 위치,,,,사용X,완료,
파일 확장자 여부,확장자포함여부,"Nomial(명목), factor",".txt .exe .js 같은 파일 확장자가 url 내에 있는지 확인 (확장자 있으면 1, 없으면 0)",보류,완료,→ 정상 사이트에서 확장자가 더 많이 발견된 점에 더불어 피싱 사이트와의 큰 개수 차이가 없어서 별다른 의미 없어 보임
[도메인] 특수문자 개수,도메인_특수문자개수,,,사용O,완료,
[도메인] . 개수,도메인_점개수,,,사용O,완료,
[도메인] 숫자 개수,도메인_숫자개수,,,사용O,완료,
[도메인] - 개수,도메인_대시개수,,,사용O,완료,
query length,쿼리길이,,"쿼리 길이가 길면 피싱, 아니면 정상",보류,완료,
피싱 단어 빈도,,"Nomial(명목), factor","피싱, 정상 URL에서 빈출되는 단어가 포함되는지 아닌지 여부",보류,완료,
