"","url","isPhishing","special_chars","at_chars","double_slash_chars","dash_chars","numbers"
"1","http://masf.krhes.boston","Y",5,0,1,0,0
"2","con08.nu8w.love","Y",2,0,0,0,3
"3","coz.ul3u.show","Y",2,0,0,0,1
"4","https://donate.do/h73t","Y",5,0,1,0,2
"5","oabe.fyy8.plus","Y",2,0,0,0,1
"6","mp.fnb4.media","Y",2,0,0,0,1
"7","http://gilo.iszty.skin","Y",5,0,1,0,0
"8","http://gilo.iszty.skin","Y",5,0,1,0,0
"9","http://han.gl/UwxiZ","Y",5,0,1,0,0
"10","http://sn6d.senlo.plus","Y",5,0,1,0,1
"11","on17.er30.love","Y",2,0,0,0,4
"12","yang.jeyrg.beauty","Y",2,0,0,0,0
"13","http://hgfdh.bsone.kr","Y",5,0,1,0,0
"14","http://hg6if.spoet.kr","Y",5,0,1,0,1
"15","oanxz.g6ho.cyou","Y",2,0,0,0,1
"16","http://vcgytu.kremt.boston","Y",5,0,1,0,0
"17","http://lsopfi.zmgec.mobi/","Y",6,0,1,0,0
"18","http://unz7a.jeyrg.beauty","Y",5,0,1,0,1
"19","http://t2m.kr/XPvjk","Y",5,0,1,0,1
"20","http://dd.malfsms.pro","Y",5,0,1,0,0
"21","http://bit.ly/3yL1d4v","Y",5,0,1,0,3
"22","ms.directsemk.com/","Y",3,0,0,0,0
"23","http://gfsw2q.bsone.kr","Y",5,0,1,0,1
"24","bit.ly/3Q9a47H","Y",2,0,0,0,4
"25","https://bit.ly/3OiXOjx","Y",5,0,1,0,1
"26","http://tny.im/MzjeQ","Y",5,0,1,0,0
"27","http://ling1.yisez.gay","Y",5,0,1,0,1
"28","coc.ul3u.show","Y",2,0,0,0,1
"29","http://pdtni.vkioz.cn","Y",5,0,1,0,0
"30","moy.v69w.saLe","Y",2,0,0,0,2
"31","cc13.aq3L.press","Y",2,0,0,0,3
"32","http://hged2.bsone.kr","Y",5,0,1,0,1
"33","http://jd7v.yisez.gay","Y",5,0,1,0,1
"34","cco5.cc2x.tax","Y",2,0,0,0,2
"35","nbv.jc6y.Ltd","Y",2,0,0,0,1
"36","bit.ly/3PkFHef","Y",2,0,0,0,1
"37","moc.v69w.saLe","Y",2,0,0,0,2
"38","cc23.aq3L.press","Y",2,0,0,0,3
"39","http://q3hf.yisez.gay","Y",5,0,1,0,1
"40","cco5.cc2x.tax","Y",2,0,0,0,2
"41","http://op.pongdang.top/gool","Y",6,0,1,0,0
"42","cc24.aq3L.press","Y",2,0,0,0,3
"43","http://o3jg.yisez.gay","Y",5,0,1,0,1
"44","http://t2m.kr/vfMAR","Y",5,0,1,0,1
"45","https://donate.do/Z9Ak","Y",5,0,1,0,1
"46","http://dokdo.in/xaW","Y",5,0,1,0,0
"47","ms.directsemk.com/","Y",3,0,0,0,0
"48","http://bit.ly/3PxBJOX","Y",5,0,1,0,1
"49","http://www.cjthedmmk.cn/o5t2q4","Y",6,0,1,0,3
"50","http://pazqw.crvud.com","Y",5,0,1,0,0
"51","nne.fnb4.media","Y",2,0,0,0,1
"52","http://gdtc3.bsone.kr","Y",5,0,1,0,1
"53","http://hghh7f.spoet.kr","Y",5,0,1,0,1
"54","hhg.kmssnjkk.com/","Y",3,0,0,0,0
"55","http://dokdo.in/xaW","Y",5,0,1,0,0
"56","https://bit.ly/3AVWkae","Y",5,0,1,0,1
"57","bbs.smrectsemk.com","Y",2,0,0,0,0
"58","https://bit.ly/3z3ZOqa","Y",5,0,1,0,2
"59","obr.n61g.group","Y",2,0,0,0,2
"60","msk.micesmsk.com","Y",2,0,0,0,0
"61","cco5cc2x.tax","Y",1,0,0,0,2
"62","http://yang2.yisez.gay","Y",5,0,1,0,1
"63","nior.m1xy.tax","Y",2,0,0,0,1
"64","iona01.d6lk.biz","Y",2,0,0,0,3
"65","cbie.auo4.biz","Y",2,0,0,0,1
"66","kkn.smrectsemk.com","Y",2,0,0,0,0
"67","noib.j4cg.ltd","Y",2,0,0,0,1
"68","ioz.c11.j4cg.ltd","Y",3,0,0,0,3
"69","me9.vgx6.biz","Y",2,0,0,0,2
"70","noz.uaf4.pink","Y",2,0,0,0,1
"71","ioc.w9rd.biz","Y",2,0,0,0,1
"72","cco5.aq3L.press","Y",2,0,0,0,2
"73","https://donate.do/YqEQ","Y",5,0,1,0,0
"74","http://tinyurl.com/yeu46jdm","Y",5,0,1,0,2
"75","con01.nu8w.love","Y",2,0,0,0,3
"76","msk.micesmsk.com/","Y",3,0,0,0,0
"77","https://bit.ly/3K1fKOJ","Y",5,0,1,0,2
"78","obxn.z1vg.shop","Y",2,0,0,0,1
"79","n08.d6lk.biz","Y",2,0,0,0,3
"80","noic.j4cg.ltd","Y",2,0,0,0,1
"81","http://han.gl/lFUMe","Y",5,0,1,0,0
"82","onr.pep9.press","Y",2,0,0,0,1
"83","noz.f6wy.Live","Y",2,0,0,0,1
"84","maobn.q1wy.run","Y",2,0,0,0,1
"85","http://mghtjg.kremt.boston","Y",5,0,1,0,0
"86","coy12.k4cm.Live","Y",2,0,0,0,3
"87","https://bit.ly/3mQIMqo","Y",5,0,1,0,1
"88","cs.directsend.pro","Y",2,0,0,0,0
"89","dokdo.in/8t0","Y",2,0,0,0,2
"90","moz.f6wy.Live","Y",2,0,0,0,1
"91","coy14.k4cm.Live","Y",2,0,0,0,3
"92","http://bit.ly/3bPVCCN","Y",5,0,1,0,1
"93","http://t2m.kr/SPFFj","Y",5,0,1,0,1
"94","https://han.gl/Cpasj","Y",5,0,1,0,0
"95","http://funte.qnggt.com","Y",5,0,1,0,0
"96","http://zxcfk.zyqfr.com","Y",5,0,1,0,0
"97","https://mg.sdfikujh.top","Y",5,0,1,0,0
"98","co07.fzn4.wang","Y",2,0,0,0,3
"99","http://vrofj.wwbgh.com","Y",5,0,1,0,0
"100","moiy.u3hl.press","Y",2,0,0,0,1
"101","noi.f6wy.Live","Y",2,0,0,0,1
"102","http://hrwdc.yyzabc.com","Y",5,0,1,0,0
"103","coy11.k4cm.Live","Y",2,0,0,0,3
"104","xxzo.giwy.group","Y",2,0,0,0,0
"105","iob.cpu9.today","Y",2,0,0,0,1
"106","sob.fvs7.today","Y",2,0,0,0,1
"107","nob.f6wy.Live","Y",2,0,0,0,1
"108","co11.cpu9.today","Y",2,0,0,0,3
"109","https://han.gl/GBGVi","Y",5,0,1,0,0
"110","http://fgrit.crvud.com","Y",5,0,1,0,0
"111","cn12.fzn4.wang","Y",2,0,0,0,3
"112","co15.cpu9.today","Y",2,0,0,0,3
"113","noi.f6wy.Live","Y",2,0,0,0,1
"114","https://donate.do/yKGK","Y",5,0,1,0,0
"115","tpncc.ggmhd.com","Y",2,0,0,0,0
"116","http://bilch.hgyam.com","Y",5,0,1,0,0
"117","soz.fvs7.today","Y",2,0,0,0,1
"118","https://lrl.kr/b5f5","Y",5,0,1,0,2
"119","https://bit.ly/3zYXrFk","Y",5,0,1,0,1
"120","http://tny.im/PoAH9","Y",5,0,1,0,1
"121","ccx.f53j.email","Y",2,0,0,0,2
"122","http://wang1.gtaro.ink","Y",5,0,1,0,1
"123","http://bit.ly/3TZLs3D","Y",5,0,1,0,2
"124","https://bit.ly/3K7lEhF","Y",5,0,1,0,2
"125","http://kaot.gtaro.ink","Y",5,0,1,0,0
"126","me2.n4.x4ww.biz","Y",3,0,0,0,3
"127","http://uios7.gtaro.ink","Y",5,0,1,0,1
"128","http://isnj.gtaro.ink","Y",5,0,1,0,0
"129","co13.cpu9.today","Y",2,0,0,0,3
"130","bit.ly/3mKx7sx","Y",2,0,0,0,2
"131","http://isnj.gtaro.ink","Y",5,0,1,0,0
"132","http://uios7.gtaro.ink","Y",5,0,1,0,1
"133","http://zhang.gtaro.ink","Y",5,0,1,0,0
"134","http://leio.gtaro.ink","Y",5,0,1,0,0
"135","http://wang1.gtaro.ink","Y",5,0,1,0,1
"136","http://move9.gtaro.ink","Y",5,0,1,0,1
"137","http://bit.ly/3IQS1Ax","Y",5,0,1,0,2
"138","http://bit.ly/3ocSpQ9","Y",5,0,1,0,2
"139","https://han.gl/bzfxt","Y",5,0,1,0,0
"140","naa.mgb0.video","Y",2,0,0,0,1
"141","ion.me0d.host","Y",2,0,0,0,1
"142","http://wang1.gtaro.ink","Y",5,0,1,0,1
"143","http://moisdfhu.ounkr.boston","Y",5,0,1,0,0
"144","http://piao1.oehsr.miami","Y",5,0,1,0,1
"145","https://han.gl/bzfxt","Y",5,0,1,0,0
"146","ioa.me0d.host","Y",2,0,0,0,1
"147","https://han.gl/GPbMq","Y",5,0,1,0,0
"148","https://han.gl/EhZLV","Y",5,0,1,0,0
"149","http://hg.smslfsm.top","Y",5,0,1,0,0
"150","bit.ly/3TZLs3D","Y",2,0,0,0,2
"151","ioz.w9rd.biz","Y",2,0,0,0,1
"152","on15.dbt1.biz","Y",2,0,0,0,3
"153","msk.micesmsk.com","Y",2,0,0,0,0
"154","nix.uts2.media","Y",2,0,0,0,1
"155","cm.k4cm.Live","Y",2,0,0,0,1
"156","sox.fvs7.today","Y",2,0,0,0,1
"157","xioz.g1kn.media","Y",2,0,0,0,1
"158","noc.pd4x.media","Y",2,0,0,0,1
"159","https://han.gl/EqhEJ","Y",5,0,1,0,0
"160","http://bit.ly/3bK31n8","Y",5,0,1,0,4
"161","nio.uts2.media","Y",2,0,0,0,1
"162","https://han.gl/TIufL","Y",5,0,1,0,0
"163","https://bit.ly/3dk8wth","Y",5,0,1,0,2
"164","me4.c9.x4ww.biz","Y",3,0,0,0,3
"165","https://bit.ly/3c4xr3D","Y",5,0,1,0,3
"166","mos.uts2.media","Y",2,0,0,0,1
"167","cooa.g1kn.media","Y",2,0,0,0,1
